"","quartier","scores"
"1"," Affoltern ",68
"2"," Albisrieden ",74
"3"," Alt-Wiedikon ",67
"4"," Altstetten ",65
"5"," City ",71
"6"," Enge ",63
"7"," Escher Wyss ",67
"8"," Fluntern ",69
"9"," Friesenberg ",84
"10"," Gewerbeschule ",69
"11"," Höngg ",76
"12"," Hard ",63
"13"," Hirslanden ",74
"14"," Hirzenbach ",64
"15"," Hochschulen ",69
"16"," Hottingen ",71
"17"," Langstrasse ",62
"18"," Leimbach ",69
"19"," Lindenhof ",71
"20"," Mühlebach ",66
"21"," Oberstrass ",71
"22"," Oerlikon ",61
"23"," Rathaus ",70
"24"," Saatlen ",71
"25"," Schwamendingen-Mitte ",59
"26"," Seebach ",61
"27"," Seefeld ",62
"28"," Sihlfeld ",69
"29"," Unterstrass ",73
"30"," Weinegg ",69
"31"," Werd ",67
"32"," Wipkingen ",72
"33"," Witikon ",76
"34"," Wollishofen ",73
