qnr,qname,count_kinderkrippe,count_kinderhort,count_kindergarten,count_volksschule,count_brunnen,count_kunst_im_statraumm,count_gastwirtschaftsbetriebe,count_kirche
11,Rathaus,0,0,1,0,36,15,182,4
12,Hochschulen,3,2,1,1,46,14,63,2
13,Lindenhof,0,0,0,0,32,14,64,3
14,City,8,1,2,1,36,22,153,2
21,Wollishofen,14,24,16,7,68,20,43,3
23,Leimbach,2,12,11,3,27,3,8,2
24,Enge,8,10,6,2,54,54,78,2
31,Alt-Wiedikon,22,14,11,2,24,1,77,3
33,Friesenberg,6,26,14,6,51,5,22,2
34,Sihlfeld,11,21,16,5,51,27,123,4
41,Werd,3,0,0,0,9,5,58,1
42,Langstrasse,10,6,6,2,29,11,269,2
44,Hard,8,17,9,3,25,3,47,2
51,Gewerbeschule,5,8,7,4,22,13,121,2
52,Escher Wyss,10,5,4,1,11,2,101,0
61,Unterstrass,14,21,20,5,69,34,75,7
63,Oberstrass,12,11,6,2,35,6,31,2
71,Fluntern,9,9,6,2,49,10,23,3
72,Hottingen,10,5,7,3,51,17,39,2
73,Hirslanden,7,2,5,2,27,3,15,0
74,Witikon,7,6,9,2,31,9,11,3
81,Seefeld,5,0,0,0,17,22,53,0
82,Mühlebach,10,11,6,4,20,8,40,1
83,Weinegg,10,5,4,3,26,4,23,2
91,Albisrieden,19,27,21,5,38,9,34,3
92,Altstetten,20,37,31,10,78,15,106,5
101,Höngg,14,23,21,7,64,6,38,2
102,Wipkingen,15,21,13,3,42,7,36,4
111,Affoltern,11,32,30,7,48,4,35,3
115,Oerlikon,22,25,21,5,53,12,122,3
119,Seebach,18,22,24,6,41,6,84,3
121,Saatlen,6,14,6,4,10,1,10,1
122,Schwamendingen-Mitte,9,11,6,4,36,3,27,2
123,Hirzenbach,6,21,9,5,19,1,13,2
